surface,reading,reading_seion,reading_search,count_hira
利払い,りばらい,りはらい,らい,4
指し物,さしもの,さしもの,もの,4
電位差,でんいさ,てんいさ,いさ,4
思召,おぼしめし,おほしめし,めし,5
とこずれ,とこずれ,とこすれ,すれ,4
花かんざし,はなかんざし,はなかんさし,さし,6
刀泉,とーせん,とーせん,せん,4
メモリ,めもり,めもり,もり,3
耕地,こーち,こーち,ーち,3
尻切れ蜻蛉,しりきれとんぼ,しりきれとんほ,んほ,7
翌翌週,よくよくしゅー,よくよくしゅー,ゅー,7
枷,かせ,かせ,かせ,2
ザウルス,ざうるす,さうるす,るす,4
顔ばせ,かおばせ,かおはせ,はせ,4
フローグラフ,ふろーぐらふ,ふろーくらふ,らふ,6
曲玉,まがたま,まかたま,たま,4
豊葦原,とよあしはら,とよあしはら,はら,6
たっぱ,たっぱ,たっは,っは,3
事蹟,じせき,しせき,せき,3
都忘れ,みやこわすれ,みやこわすれ,すれ,6
海鞘,ほや,ほや,ほや,2
切篭,きりこ,きりこ,りこ,3
梓,あずさ,あすさ,すさ,3
御一同様,ごいちどーさま,こいちとーさま,さま,7
遠吠え,とーぼえ,とーほえ,ほえ,4
矩差し,かねざし,かねさし,さし,4
涼み,すずみ,すすみ,すみ,3
トウシン,とーしん,とーしん,しん,4
逃げ道,にげみち,にけみち,みち,4
上膳据膳,あげぜんすえぜん,あけぜんすえぜん,ぜん,8
付けまげ,つけまげ,つけまけ,まけ,4
先皇,せんのー,せんのー,のー,4
カップめん,かっぷめん,かっふめん,めん,5
おろか,おろか,おろか,ろか,3
アソシアティブレジスタ,あそしあてぃぶれじすた,あそしあてぃふれしすた,すた,11
儀,ぎ,き,き,1
諸公,しょこー,しょこー,こー,4
長子,ちょーし,ちょーし,ーし,4
超文,ちょーぶん,ちょーふん,ふん,5
入海,いりうみ,いりうみ,うみ,4
レストラン,れすとらん,れすとらん,らん,5
精糖,せいとー,せいとー,とー,4
紫根,しこん,しこん,こん,3
ちょんぼ,ちょんぼ,ちょんほ,んほ,4
雲水,うんすい,うんすい,すい,4
持ち腐れ,もちぐされ,もちくされ,され,5
蚤,のみ,のみ,のみ,2
円本,えんぽん,えんほん,ほん,4
江,え,え,え,1
長身,ちょーしん,ちょーしん,しん,5
病み上り,やみあがり,やみあかり,かり,5
秋刀魚,さんま,さんま,んま,3
本学,ほんがく,ほんかく,かく,4
きょう,きょー,きょー,ょー,3
特旨,とくし,とくし,くし,3
プリッツ,ぷりっつ,ふりっつ,っつ,4
出身,しゅっしん,しゅっしん,しん,5
和様,わよー,わよー,よー,3
主神,しゅしん,しゅしん,しん,4
衝立,ついたて,ついたて,たて,4
自身番,じしんばん,ししんはん,はん,5
正気,しょーき,しょーき,ーき,4
正気,せいき,せいき,いき,3
印形,いんぎょー,いんきょー,ょー,5
分かち書き,わかちがき,わかちかき,かき,5
背負い上げ,しょいあげ,しょいあけ,あけ,5
おぼれ谷,おぼれだに,おほれたに,たに,5
大道,だいどー,たいとー,とー,4
大道,たいどー,たいとー,とー,4
無駄,むだ,むた,むた,2
アンパン,あんぱん,あんはん,はん,4
左中間,さちゅーかん,さちゅーかん,かん,6
元方,もとかた,もとかた,かた,4
粗塗,あらぬり,あらぬり,ぬり,4
潦,にわたずみ,にわたすみ,すみ,5
合衆国,がっしゅーこく,かっしゅーこく,こく,7
目白,めじろ,めしろ,しろ,3
禁,きん,きん,きん,2
介与,かいよ,かいよ,いよ,3
旧聞,きゅーぶん,きゅーふん,ふん,5
挟詞,はさみことば,はさみことは,とは,6
合名,ごーめい,こーめい,めい,4
徳性,とくせい,とくせい,せい,4
平泳,ひらおよぎ,ひらおよき,よき,5
情報,じょーほー,しょーほー,ほー,5
差添え,さしぞえ,さしそえ,そえ,4
岩つつじ,いわつつじ,いわつつし,つし,5
続け様,つずけざま,つすけさま,さま,5
座席,ざせき,させき,せき,3
四十雀,しじゅーから,ししゅーから,から,6
嫌味,いやみ,いやみ,やみ,3
節義,せつぎ,せつき,つき,3
ニワタタキ,にわたたき,にわたたき,たき,5
法印,ほーいん,ほーいん,いん,4
有線,ゆーせん,ゆーせん,せん,4
度量衡,どりょーこー,とりょーこー,こー,6
インディケータ,いんでぃけーた,いんてぃけーた,ーた,7
書志,しょし,しょし,ょし,3
書き留め,かきとめ,かきとめ,とめ,4
傭人,よーにん,よーにん,にん,4
たき合わせ,たきあわせ,たきあわせ,わせ,5
玲瓏,れいろー,れいろー,ろー,4
待ち惚け,まちぼーけ,まちほーけ,ーけ,5
インク,いんく,いんく,んく,3
二乗根,じじょーこん,ししょーこん,こん,6
とったり,とったり,とったり,たり,4
清冽,せいれつ,せいれつ,れつ,4
べっ称,べっしょー,へっしょー,ょー,5
考,こー,こー,こー,2
バカンス,ばかんす,はかんす,んす,4
ケチ,けち,けち,けち,2
ステークス,すてーくす,すてーくす,くす,5
慶弔,けいちょー,けいちょー,ょー,5
自主トレ,じしゅとれ,ししゅとれ,とれ,5
ピークシフト,ぴーくしふと,ひーくしふと,ふと,6
鉄山,てつざん,てつさん,さん,4
函,はこ,はこ,はこ,2
縒り,より,より,より,2
文事,ぶんじ,ふんし,んし,3
げん,げん,けん,けん,2
功利,こーり,こーり,ーり,3
妙音,みょーおん,みょーおん,おん,5
ひぐらし,ひぐらし,ひくらし,らし,4
守札,まもりふだ,まもりふた,ふた,5
トラップ,とらっぷ,とらっふ,っふ,4
ブラ,ぶら,ふら,ふら,2
歯学,しがく,しかく,かく,3
釣り手,つりて,つりて,りて,3
居住い,いずまい,いすまい,まい,4
防諜,ぼーちょー,ほーちょー,ょー,5
腰縄,こしなわ,こしなわ,なわ,4
片端,かたわ,かたわ,たわ,3
片端,かたはし,かたはし,はし,4
余波,よは,よは,よは,2
余波,なごり,なこり,こり,3
一溜り,ひとたまり,ひとたまり,まり,5
指導室,しどーしつ,しとーしつ,しつ,5
ユーカラ,ゆーから,ゆーから,から,4
挿話,そーわ,そーわ,ーわ,3
離れ,はなれ,はなれ,なれ,3
短大,たんだい,たんたい,たい,4
私心,ししん,ししん,しん,3
こうこ,こーこ,こーこ,ーこ,3
水海道,みつかいどー,みつかいとー,とー,6
南京玉,なんきんだま,なんきんたま,たま,6
釣鐘草,つりがねそー,つりかねそー,そー,6
融雪,ゆーせつ,ゆーせつ,せつ,4
白堊,はくあ,はくあ,くあ,3
アシカ,あしか,あしか,しか,3
原罪,げんざい,けんさい,さい,4
上側,うわがわ,うわかわ,かわ,4
不死身,ふじみ,ふしみ,しみ,3
位負け,くらいまけ,くらいまけ,まけ,5
おなじみ,おなじみ,おなしみ,しみ,4
鏡板,かがみいた,かかみいた,いた,5
大ぶり,おーぶり,おーふり,ふり,4
職業,しょくぎょー,しょくきょー,ょー,6
失費,しっぴ,しっひ,っひ,3
平家蟹,へいけがに,へいけかに,かに,5
雑歌,ぞーか,そーか,ーか,3
ひんせい,ひんせい,ひんせい,せい,4
黄塵,こーじん,こーしん,しん,4
告げ,つげ,つけ,つけ,2
車軸,しゃじく,しゃしく,しく,4
繁用,はんよー,はんよー,よー,4
砂かぶり,すなかぶり,すなかふり,ふり,5
麝香,じゃこー,しゃこー,こー,4
雁字搦め,がんじがらめ,かんしからめ,らめ,6
偏見,へんけん,へんけん,けん,4
砂糖黍,さとーきび,さとーきひ,きひ,5
危険,きけん,きけん,けん,3
ハーネス,はーねす,はーねす,ねす,4
シーツ,しーつ,しーつ,ーつ,3
紅毛碧眼,こーもーへきがん,こーもーへきかん,かん,8
そぼろ,そぼろ,そほろ,ほろ,3
服飾,ふくしょく,ふくしょく,ょく,5
六法,ろっぽー,ろっほー,ほー,4
針山,はりやま,はりやま,やま,4
脂気,あぶらけ,あふらけ,らけ,4
劇界,げきかい,けきかい,かい,4
紬糸,つむぎいと,つむきいと,いと,5
恋びと,こいびと,こいひと,ひと,4
善事,ぜんじ,ぜんし,んし,3
標縄,しめなわ,しめなわ,なわ,4
アカエイ,あかえい,あかえい,えい,4
文中,ぶんちゅー,ふんちゅー,ゅー,5
緋牡丹,ひぼたん,ひほたん,たん,4
英和,えいわ,えいわ,いわ,3
本号,ほんごー,ほんこー,こー,4
際涯,さいがい,さいかい,かい,4
予科練,よかれん,よかれん,れん,4
兵端,へいたん,へいたん,たん,4
ピット,ぴっと,ひっと,っと,3
糸巻き,いとまき,いとまき,まき,4
手本,てほん,てほん,ほん,3
面もち,おももち,おももち,もち,4
別天地,べってんち,へってんち,んち,5
浜辺,はまべ,はまへ,まへ,3
真田虫,さなだむし,さなたむし,むし,5
迫り出し,せりだし,せりたし,たし,4
